Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
40,,Ms71,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,1,1,1,0,20,178.32,0.0738,
62,,Ms71,14,rep2,control,MockInoc,control,na,BMDI,7,4,0,0,1,0,60,150.16,0.0232,
75,,Ms71,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,10,181.03,0.0812,
97,,Ms71,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,10,165.83,0.0949,
13,,NC304,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,1,1,1,0,20,115.8,0.0801,
30,,NC304,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,30,189.87,0.0642,
42,,NC304,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,0,0,1,0,0,153.83,0.067,
63,,NC304,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,0,208.47,0.1143,
78,,NC304,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,191.98,0.1071,
94,,NC304,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,173.11,0.1055,
11,,Oh7B,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,2,1,0,0,1,0,50,197.74,0.0912,
28,,Oh7B,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,4,2,1,1,1,0,10,172.49,0.1118,
44,,Oh7B,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,5,3,1,1,1,0,0,186.85,0.0769,
58,,Oh7B,14,rep2,control,MockInoc,control,na,BMDI,7,4,1,1,1,0,0,186.48,0.0934,
76,,Oh7B,14,rep2,control,MockInoc,control,na,BMDI,9,5,1,1,1,0,0,201.03,0.1234,
96,,Oh7B,14,rep2,control,MockInoc,control,na,BMDI,11,6,1,1,1,0,0,166.64,0.0717,
12,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,0,0,0,0,100,0,0,
32,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,0,191.69,0.1633,
49,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,0,0,0,0,100,0,0,
69,,B73,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,0,152.53,0.1774,
86,,B73,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,191.57,0.1446,
103,,B73,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,150.24,0.1168,
18,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,1,1,0,0,5,177.34,0.1334,
29,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,0,154.51,0.2232,
48,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,0,0,169.82,0.1795,
67,,CML103,14,rep3,control,MockInoc,control,na,BMDI,4,2,0,0,0,0,100,0,0,
84,,CML103,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,176.51,0.1476,
106,,CML103,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,152.67,0.1522,
17,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,0,0,0,0,100,0,0,
31,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,0,0,0,0,100,0,0,
51,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,0,0,0,0,100,0,0,
64,,CML277,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,5,168.21,0.087,
83,,CML277,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,184.52,0.103,
108,,CML277,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,182.28,0.0861,
11,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,1,1,0,0,0,198.8,0.1136,
30,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,0,187.83,0.1069,
52,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,1,1,0,0,0,207.13,0.1059,
71,,CML333,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,0,178.8,0.1308,
82,,CML333,14,rep3,control,MockInoc,control,na,BMDI,8,4,0,0,0,0,100,0,0,
107,,CML333,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,172.41,0.118,
10,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,3,2,1,1,0,0,0,0,0,
28,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,1,1,0,0,0,177.93,0.1607,
